FY,ConsumerState,WasPreRecorded,Count
2017,Alabama,Call Type Not Reported,1480
2017,Alabama,Live Caller,34896
2017,Alabama,Robocall,71627
2017,Alaska,Call Type Not Reported,14
2017,Alaska,Live Caller,1112
2017,Alaska,Robocall,1915
2017,American Samoa,Robocall,2
2017,Arizona,Call Type Not Reported,1885
2017,Arizona,Live Caller,63051
2017,Arizona,Robocall,104766
2017,Arkansas,Call Type Not Reported,835
2017,Arkansas,Live Caller,19299
2017,Arkansas,Robocall,41563
2017,California,Call Type Not Reported,9842
2017,California,Live Caller,345571
2017,California,Robocall,469279
2017,Colorado,Call Type Not Reported,946
2017,Colorado,Live Caller,45249
2017,Colorado,Robocall,83414
2017,Connecticut,Call Type Not Reported,2152
2017,Connecticut,Live Caller,32272
2017,Connecticut,Robocall,60016
2017,Delaware,Call Type Not Reported,446
2017,Delaware,Live Caller,10707
2017,Delaware,Robocall,16538
2017,District of Columbia,Call Type Not Reported,196
2017,District of Columbia,Live Caller,7383
2017,District of Columbia,Robocall,16724
2017,Florida,Call Type Not Reported,4919
2017,Florida,Live Caller,219301
2017,Florida,Robocall,363801
2017,Georgia,Call Type Not Reported,2605
2017,Georgia,Live Caller,86095
2017,Georgia,Robocall,153542
2017,Guam,Live Caller,26
2017,Guam,Robocall,18
2017,Hawaii,Call Type Not Reported,435
2017,Hawaii,Live Caller,6051
2017,Hawaii,Robocall,9569
2017,Idaho,Call Type Not Reported,268
2017,Idaho,Live Caller,10147
2017,Idaho,Robocall,22742
2017,Illinois,Call Type Not Reported,4594
2017,Illinois,Live Caller,103202
2017,Illinois,Robocall,187422
2017,Indiana,Call Type Not Reported,1801
2017,Indiana,Live Caller,36331
2017,Indiana,Robocall,76109
2017,Iowa,Call Type Not Reported,939
2017,Iowa,Live Caller,18015
2017,Iowa,Robocall,44548
2017,Kansas,Call Type Not Reported,439
2017,Kansas,Live Caller,18248
2017,Kansas,Robocall,36520
2017,Kentucky,Call Type Not Reported,1151
2017,Kentucky,Live Caller,24225
2017,Kentucky,Robocall,46734
2017,Louisiana,Call Type Not Reported,940
2017,Louisiana,Live Caller,26130
2017,Louisiana,Robocall,59197
2017,Maine,Call Type Not Reported,466
2017,Maine,Live Caller,9649
2017,Maine,Robocall,19380
2017,Maryland,Call Type Not Reported,2217
2017,Maryland,Live Caller,53325
2017,Maryland,Robocall,94804
2017,Massachusetts,Call Type Not Reported,1588
2017,Massachusetts,Live Caller,51577
2017,Massachusetts,Robocall,102841
2017,Michigan,Call Type Not Reported,4152
2017,Michigan,Live Caller,98265
2017,Michigan,Robocall,163048
2017,Minnesota,Call Type Not Reported,1063
2017,Minnesota,Live Caller,28138
2017,Minnesota,Robocall,61965
2017,Mississippi,Call Type Not Reported,728
2017,Mississippi,Live Caller,13567
2017,Mississippi,Robocall,25674
2017,Missouri,Call Type Not Reported,1306
2017,Missouri,Live Caller,27464
2017,Missouri,Robocall,45332
2017,Montana,Call Type Not Reported,223
2017,Montana,Live Caller,7329
2017,Montana,Robocall,13659
2017,NONE,Call Type Not Reported,255
2017,NONE,Live Caller,1197
2017,NONE,Robocall,5415
2017,Nebraska,Call Type Not Reported,870
2017,Nebraska,Live Caller,14591
2017,Nebraska,Robocall,27794
2017,Nevada,Call Type Not Reported,796
2017,Nevada,Live Caller,25002
2017,Nevada,Robocall,43841
2017,New Hampshire,Call Type Not Reported,238
2017,New Hampshire,Live Caller,11799
2017,New Hampshire,Robocall,24364
2017,New Jersey,Call Type Not Reported,4963
2017,New Jersey,Live Caller,110946
2017,New Jersey,Robocall,205484
2017,New Mexico,Call Type Not Reported,638
2017,New Mexico,Live Caller,14465
2017,New Mexico,Robocall,22550
2017,New York,Call Type Not Reported,7156
2017,New York,Live Caller,154613
2017,New York,Robocall,292331
2017,North Carolina,Call Type Not Reported,2151
2017,North Carolina,Live Caller,68917
2017,North Carolina,Robocall,128339
2017,North Dakota,Call Type Not Reported,133
2017,North Dakota,Live Caller,3207
2017,North Dakota,Robocall,6541
2017,Northern Mariana Islands,Robocall,8
2017,Ohio,Call Type Not Reported,4952
2017,Ohio,Live Caller,102816
2017,Ohio,Robocall,168899
2017,Oklahoma,Call Type Not Reported,569
2017,Oklahoma,Live Caller,20889
2017,Oklahoma,Robocall,40504
2017,Oregon,Call Type Not Reported,872
2017,Oregon,Live Caller,29317
2017,Oregon,Robocall,62932
2017,Pennsylvania,Call Type Not Reported,4732
2017,Pennsylvania,Live Caller,106282
2017,Pennsylvania,Robocall,160818
2017,Puerto Rico,Call Type Not Reported,195
2017,Puerto Rico,Live Caller,738
2017,Puerto Rico,Robocall,705
2017,Rhode Island,Call Type Not Reported,332
2017,Rhode Island,Live Caller,9882
2017,Rhode Island,Robocall,16376
2017,South Carolina,Call Type Not Reported,1552
2017,South Carolina,Live Caller,36103
2017,South Carolina,Robocall,61965
2017,South Dakota,Call Type Not Reported,147
2017,South Dakota,Live Caller,4379
2017,South Dakota,Robocall,8790
2017,Tennessee,Call Type Not Reported,2249
2017,Tennessee,Live Caller,52556
2017,Tennessee,Robocall,104091
2017,Texas,Call Type Not Reported,4872
2017,Texas,Live Caller,196838
2017,Texas,Robocall,357853
2017,Utah,Call Type Not Reported,308
2017,Utah,Live Caller,24945
2017,Utah,Robocall,40976
2017,Vermont,Call Type Not Reported,165
2017,Vermont,Live Caller,5477
2017,Vermont,Robocall,9254
2017,Virgin Islands,Live Caller,6
2017,Virgin Islands,Robocall,21
2017,Virginia,Call Type Not Reported,3013
2017,Virginia,Live Caller,77346
2017,Virginia,Robocall,152459
2017,Washington,Call Type Not Reported,1039
2017,Washington,Live Caller,43805
2017,Washington,Robocall,80845
2017,West Virginia,Call Type Not Reported,822
2017,West Virginia,Live Caller,11527
2017,West Virginia,Robocall,16389
2017,Wisconsin,Call Type Not Reported,1379
2017,Wisconsin,Live Caller,34470
2017,Wisconsin,Robocall,62503
2017,Wyoming,Call Type Not Reported,294
2017,Wyoming,Live Caller,4343
2017,Wyoming,Robocall,7171
