TOP TOPICS BY STATE,
Alabama,
Complaints by Topic*,Complaints
Reducing debt,"13,673"
Warranties & protection plans,"5,036"
Home security & alarms,"3,973"
Imposters,"3,390"
Medical & prescriptions,"3,305"
Vacation & timeshares,"1,783"
Computer & technical support,"1,386"
"Lotteries, prizes & sweepstakes","1,110"
Work from home,584
Home improvement & cleaning,253
*Not everyone who files a complaint reports a topic.,
Alaska,
Complaints by Topic*,Complaints
Reducing debt,456
Imposters,131
Warranties & protection plans,116
Vacation & timeshares,104
Medical & prescriptions,100
Work from home,85
Computer & technical support,78
"Lotteries, prizes & sweepstakes",74
Home security & alarms,34
"Energy, solar & utilities",26
*Not everyone who files a complaint reports a topic.,
Arizona,
Complaints by Topic*,Complaints
Reducing debt,"20,329"
Vacation & timeshares,"8,114"
Imposters,"7,771"
Warranties & protection plans,"6,907"
Medical & prescriptions,"5,961"
Computer & technical support,"5,009"
"Energy, solar & utilities","4,744"
Home security & alarms,"2,727"
"Lotteries, prizes & sweepstakes","2,213"
Work from home,"1,483"
*Not everyone who files a complaint reports a topic.,
Arkansas,
Complaints by Topic*,Complaints
Reducing debt,"9,832"
Warranties & protection plans,"3,843"
Vacation & timeshares,"2,342"
Imposters,"2,054"
Medical & prescriptions,"1,502"
Home security & alarms,949
"Lotteries, prizes & sweepstakes",836
Computer & technical support,811
Work from home,320
Home improvement & cleaning,129
*Not everyone who files a complaint reports a topic.,
California,
Complaints by Topic*,Complaints
Reducing debt,"65,839"
Vacation & timeshares,"42,964"
"Energy, solar & utilities","34,884"
Imposters,"33,206"
Home improvement & cleaning,"27,013"
Medical & prescriptions,"18,509"
Computer & technical support,"12,422"
"Lotteries, prizes & sweepstakes","11,519"
Home security & alarms,"7,949"
Work from home,"5,962"
*Not everyone who files a complaint reports a topic.,
Colorado,
Complaints by Topic*,Complaints
Reducing debt,"17,916"
Vacation & timeshares,"8,040"
Imposters,"6,392"
Warranties & protection plans,"5,956"
Medical & prescriptions,"4,437"
Computer & technical support,"3,126"
"Lotteries, prizes & sweepstakes","2,082"
Home improvement & cleaning,"1,541"
Work from home,"1,307"
"Energy, solar & utilities","1,109"
*Not everyone who files a complaint reports a topic.,
Connecticut,
Complaints by Topic*,Complaints
Reducing debt,"9,666"
Vacation & timeshares,"3,918"
Imposters,"3,700"
"Energy, solar & utilities","2,500"
Warranties & protection plans,"2,081"
Medical & prescriptions,"2,042"
Home security & alarms,"2,008"
Computer & technical support,"1,959"
Home improvement & cleaning,"1,042"
"Lotteries, prizes & sweepstakes",975
*Not everyone who files a complaint reports a topic.,
Delaware,
Complaints by Topic*,Complaints
Reducing debt,"3,033"
Warranties & protection plans,"1,386"
Vacation & timeshares,"1,040"
Imposters,875
Medical & prescriptions,645
Computer & technical support,606
"Energy, solar & utilities",462
"Lotteries, prizes & sweepstakes",242
Home security & alarms,150
Work from home,109
*Not everyone who files a complaint reports a topic.,
District of Columbia,
Complaints by Topic*,Complaints
Reducing debt,"4,103"
Vacation & timeshares,"1,628"
Imposters,"1,262"
Warranties & protection plans,665
Medical & prescriptions,459
Computer & technical support,419
"Lotteries, prizes & sweepstakes",413
"Energy, solar & utilities",196
Home improvement & cleaning,188
Home security & alarms,178
*Not everyone who files a complaint reports a topic.,
Florida,
Complaints by Topic*,Complaints
Reducing debt,"63,231"
Vacation & timeshares,"19,058"
Warranties & protection plans,"18,939"
Imposters,"18,262"
Medical & prescriptions,"16,997"
Home security & alarms,"10,906"
Computer & technical support,"8,977"
"Lotteries, prizes & sweepstakes","6,270"
"Energy, solar & utilities","5,108"
Work from home,"3,370"
*Not everyone who files a complaint reports a topic.,
Georgia,
Complaints by Topic*,Complaints
Reducing debt,"28,121"
Vacation & timeshares,"11,711"
Warranties & protection plans,"10,658"
Medical & prescriptions,"7,913"
Imposters,"7,817"
Home security & alarms,"5,789"
Computer & technical support,"3,091"
"Lotteries, prizes & sweepstakes","2,840"
Work from home,"1,467"
Home improvement & cleaning,"1,237"
*Not everyone who files a complaint reports a topic.,
Hawaii,
Complaints by Topic*,Complaints
Reducing debt,"1,971"
Imposters,853
Computer & technical support,437
Medical & prescriptions,381
Warranties & protection plans,312
Work from home,312
Vacation & timeshares,309
"Lotteries, prizes & sweepstakes",256
"Energy, solar & utilities",126
Home security & alarms,64
*Not everyone who files a complaint reports a topic.,
Idaho,
Complaints by Topic*,Complaints
Reducing debt,"4,825"
Vacation & timeshares,"1,729"
Warranties & protection plans,"1,712"
Imposters,"1,585"
Medical & prescriptions,"1,173"
Computer & technical support,953
"Lotteries, prizes & sweepstakes",609
Work from home,399
Home improvement & cleaning,98
"Energy, solar & utilities",94
*Not everyone who files a complaint reports a topic.,
Illinois,
Complaints by Topic*,Complaints
Reducing debt,"34,310"
Vacation & timeshares,"14,907"
Imposters,"12,529"
Medical & prescriptions,"9,673"
Warranties & protection plans,"9,531"
Computer & technical support,"4,814"
Home security & alarms,"4,029"
"Energy, solar & utilities","3,760"
"Lotteries, prizes & sweepstakes","3,746"
Home improvement & cleaning,"3,211"
*Not everyone who files a complaint reports a topic.,
Indiana,
Complaints by Topic*,Complaints
Reducing debt,"19,459"
Warranties & protection plans,"9,220"
Vacation & timeshares,"5,026"
Imposters,"3,489"
Medical & prescriptions,"2,257"
Home security & alarms,"1,775"
Computer & technical support,"1,444"
"Lotteries, prizes & sweepstakes","1,264"
Work from home,339
Home improvement & cleaning,226
*Not everyone who files a complaint reports a topic.,
Iowa,
Complaints by Topic*,Complaints
Reducing debt,"11,262"
Warranties & protection plans,"6,666"
Vacation & timeshares,"3,558"
Imposters,"2,183"
Medical & prescriptions,"1,896"
Computer & technical support,"1,259"
"Lotteries, prizes & sweepstakes",774
Work from home,451
Home improvement & cleaning,181
Home security & alarms,144
*Not everyone who files a complaint reports a topic.,
Kansas,
Complaints by Topic*,Complaints
Reducing debt,"8,737"
Warranties & protection plans,"5,207"
Imposters,"2,271"
Medical & prescriptions,"1,111"
Computer & technical support,"1,070"
Vacation & timeshares,"1,060"
"Lotteries, prizes & sweepstakes",689
Home security & alarms,595
Work from home,392
Home improvement & cleaning,139
*Not everyone who files a complaint reports a topic.,
Kentucky,
Complaints by Topic*,Complaints
Reducing debt,"10,073"
Warranties & protection plans,"3,657"
Vacation & timeshares,"3,048"
Imposters,"2,551"
Medical & prescriptions,"2,245"
Computer & technical support,"1,107"
Home security & alarms,"1,085"
"Lotteries, prizes & sweepstakes","1,060"
Work from home,520
Home improvement & cleaning,278
*Not everyone who files a complaint reports a topic.,
Louisiana,
Complaints by Topic*,Complaints
Reducing debt,"13,243"
Warranties & protection plans,"7,746"
Imposters,"2,768"
