FY 2018 Complaints by Consumer State and Call Type,,
ConsumerState,CallType,Complaints
Alabama,Call Type Not Reported,1388
Alabama,Live Caller,23489
Alabama,Robocall,55051
Alaska,Call Type Not Reported,23
Alaska,Live Caller,1517
Alaska,Robocall,2524
Arizona,Call Type Not Reported,2147
Arizona,Live Caller,53979
Arizona,Robocall,110463
Arkansas,Call Type Not Reported,723
Arkansas,Live Caller,13970
Arkansas,Robocall,28172
California,Call Type Not Reported,9746
California,Live Caller,256322
California,Robocall,481761
Colorado,Call Type Not Reported,1840
Colorado,Live Caller,44978
Colorado,Robocall,96290
Connecticut,Call Type Not Reported,1668
Connecticut,Live Caller,27896
Connecticut,Robocall,53779
Delaware,Call Type Not Reported,247
Delaware,Live Caller,6936
Delaware,Robocall,11623
District of Columbia,Call Type Not Reported,118
District of Columbia,Live Caller,5079
District of Columbia,Robocall,11938
Florida,Call Type Not Reported,4790
Florida,Live Caller,142430
Florida,Robocall,280184
Georgia,Call Type Not Reported,1979
Georgia,Live Caller,55894
Georgia,Robocall,114762
Hawaii,Call Type Not Reported,586
Hawaii,Live Caller,6581
Hawaii,Robocall,12531
Idaho,Call Type Not Reported,423
Idaho,Live Caller,8482
Idaho,Robocall,22619
Illinois,Call Type Not Reported,5040
Illinois,Live Caller,85636
Illinois,Robocall,162259
Indiana,Call Type Not Reported,1346
Indiana,Live Caller,20406
Indiana,Robocall,42470
Iowa,Call Type Not Reported,810
Iowa,Live Caller,11803
Iowa,Robocall,27626
Kansas,Call Type Not Reported,459
Kansas,Live Caller,14619
Kansas,Robocall,29714
Kentucky,Call Type Not Reported,1949
Kentucky,Live Caller,18680
Kentucky,Robocall,37261
Louisiana,Call Type Not Reported,660
Louisiana,Live Caller,20034
Louisiana,Robocall,38495
Maine,Call Type Not Reported,393
Maine,Live Caller,6245
Maine,Robocall,13382
Maryland,Call Type Not Reported,3310
Maryland,Live Caller,41090
Maryland,Robocall,82743
Massachusetts,Call Type Not Reported,2178
Massachusetts,Live Caller,37402
Massachusetts,Robocall,79523
Michigan,Call Type Not Reported,4897
Michigan,Live Caller,64332
Michigan,Robocall,128192
Minnesota,Call Type Not Reported,1313
Minnesota,Live Caller,26380
Minnesota,Robocall,65335
Mississippi,Call Type Not Reported,543
Mississippi,Live Caller,8657
Mississippi,Robocall,18710
Missouri,Call Type Not Reported,1678
Missouri,Live Caller,22539
Missouri,Robocall,47725
Montana,Call Type Not Reported,204
Montana,Live Caller,5413
Montana,Robocall,13021
Nebraska,Call Type Not Reported,947
Nebraska,Live Caller,10741
Nebraska,Robocall,23982
Nevada,Call Type Not Reported,624
Nevada,Live Caller,23433
Nevada,Robocall,53259
New Hampshire,Call Type Not Reported,224
New Hampshire,Live Caller,8734
New Hampshire,Robocall,15608
New Jersey,Call Type Not Reported,4029
New Jersey,Live Caller,72544
New Jersey,Robocall,133550
New Mexico,Call Type Not Reported,356
New Mexico,Live Caller,11662
New Mexico,Robocall,21414
New York,Call Type Not Reported,6668
New York,Live Caller,109895
New York,Robocall,232088
North Carolina,Call Type Not Reported,2671
North Carolina,Live Caller,54260
North Carolina,Robocall,111091
North Dakota,Call Type Not Reported,72
North Dakota,Live Caller,2542
North Dakota,Robocall,4875
Ohio,Call Type Not Reported,4302
Ohio,Live Caller,78569
Ohio,Robocall,133804
Oklahoma,Call Type Not Reported,781
Oklahoma,Live Caller,16008
Oklahoma,Robocall,34019
Oregon,Call Type Not Reported,912
Oregon,Live Caller,27648
Oregon,Robocall,69566
Pennsylvania,Call Type Not Reported,5587
Pennsylvania,Live Caller,84234
Pennsylvania,Robocall,149312
Puerto Rico,Call Type Not Reported,19
Puerto Rico,Live Caller,419
Puerto Rico,Robocall,455
Rhode Island,Call Type Not Reported,322
Rhode Island,Live Caller,6469
Rhode Island,Robocall,11900
South Carolina,Call Type Not Reported,2148
South Carolina,Live Caller,27291
South Carolina,Robocall,45676
South Dakota,Call Type Not Reported,154
South Dakota,Live Caller,3293
South Dakota,Robocall,6074
Tennessee,Call Type Not Reported,2391
Tennessee,Live Caller,36223
Tennessee,Robocall,72900
Texas,Call Type Not Reported,5935
Texas,Live Caller,128532
Texas,Robocall,267849
Utah,Call Type Not Reported,424
Utah,Live Caller,17511
Utah,Robocall,36930
Vermont,Call Type Not Reported,154
Vermont,Live Caller,3047
Vermont,Robocall,6007
Virginia,Call Type Not Reported,2258
Virginia,Live Caller,61229
Virginia,Robocall,118449
Washington,Call Type Not Reported,1141
Washington,Live Caller,36915
Washington,Robocall,92864
West Virginia,Call Type Not Reported,748
West Virginia,Live Caller,9853
West Virginia,Robocall,15211
Wisconsin,Call Type Not Reported,1512
Wisconsin,Live Caller,28711
Wisconsin,Robocall,54110
Wyoming,Call Type Not Reported,180
Wyoming,Live Caller,2731
Wyoming,Robocall,6478
