FY 2018 Complaints by Consumer State and Topic,,
Consumer State,Topic*,Complaints
Alabama,Computer & technical support,1457
Alabama,"Energy, solar, & utilities",132
Alabama,Home improvement & cleaning,639
Alabama,Home security & alarms,2575
Alabama,Imposters,5481
Alabama,"Lotteries, prizes & sweepstakes",650
Alabama,Medical & prescriptions,7373
Alabama,Reducing debt,10671
Alabama,Vacation & timeshares,1092
Alabama,Warranties & protection plans,1928
Alabama,Work from home,413
Alaska,Computer & technical support,188
Alaska,"Energy, solar, & utilities",30
Alaska,Home improvement & cleaning,14
Alaska,Home security & alarms,16
Alaska,Imposters,294
Alaska,"Lotteries, prizes & sweepstakes",60
Alaska,Medical & prescriptions,273
Alaska,Reducing debt,739
Alaska,Vacation & timeshares,92
Alaska,Warranties & protection plans,122
Alaska,Work from home,77
Arizona,Computer & technical support,4553
Arizona,"Energy, solar, & utilities",1950
Arizona,Home improvement & cleaning,1255
Arizona,Home security & alarms,1275
Arizona,Imposters,13019
Arizona,"Lotteries, prizes & sweepstakes",1351
Arizona,Medical & prescriptions,14404
Arizona,Reducing debt,22286
Arizona,Vacation & timeshares,5015
Arizona,Warranties & protection plans,4045
Arizona,Work from home,1181
Arkansas,Computer & technical support,810
Arkansas,"Energy, solar, & utilities",44
Arkansas,Home improvement & cleaning,144
Arkansas,Home security & alarms,455
Arkansas,Imposters,3174
Arkansas,"Lotteries, prizes & sweepstakes",347
Arkansas,Medical & prescriptions,2558
Arkansas,Reducing debt,6175
Arkansas,Vacation & timeshares,863
Arkansas,Warranties & protection plans,1026
Arkansas,Work from home,229
California,Computer & technical support,17286
California,"Energy, solar, & utilities",25727
California,Home improvement & cleaning,25869
California,Home security & alarms,4385
California,Imposters,58095
California,"Lotteries, prizes & sweepstakes",7410
California,Medical & prescriptions,44347
California,Reducing debt,82857
California,Vacation & timeshares,22534
California,Warranties & protection plans,2793
California,Work from home,4159
Colorado,Computer & technical support,3739
Colorado,"Energy, solar, & utilities",1272
Colorado,Home improvement & cleaning,3205
Colorado,Home security & alarms,589
Colorado,Imposters,12551
Colorado,"Lotteries, prizes & sweepstakes",1270
Colorado,Medical & prescriptions,11670
Colorado,Reducing debt,18836
Colorado,Vacation & timeshares,4763
Colorado,Warranties & protection plans,2978
Colorado,Work from home,879
Connecticut,Computer & technical support,1924
Connecticut,"Energy, solar, & utilities",1332
Connecticut,Home improvement & cleaning,1287
Connecticut,Home security & alarms,814
Connecticut,Imposters,4866
Connecticut,"Lotteries, prizes & sweepstakes",561
Connecticut,Medical & prescriptions,4920
Connecticut,Reducing debt,9511
Connecticut,Vacation & timeshares,2042
Connecticut,Warranties & protection plans,1126
Connecticut,Work from home,314
Delaware,Computer & technical support,552
Delaware,"Energy, solar, & utilities",87
Delaware,Home improvement & cleaning,126
Delaware,Home security & alarms,101
Delaware,Imposters,1263
Delaware,"Lotteries, prizes & sweepstakes",162
Delaware,Medical & prescriptions,1275
Delaware,Reducing debt,1949
Delaware,Vacation & timeshares,556
Delaware,Warranties & protection plans,435
Delaware,Work from home,54
District of Columbia,Computer & technical support,369
District of Columbia,"Energy, solar, & utilities",204
District of Columbia,Home improvement & cleaning,446
District of Columbia,Home security & alarms,120
District of Columbia,Imposters,1726
District of Columbia,"Lotteries, prizes & sweepstakes",160
District of Columbia,Medical & prescriptions,1345
District of Columbia,Reducing debt,2255
District of Columbia,Vacation & timeshares,572
District of Columbia,Warranties & protection plans,204
District of Columbia,Work from home,136
Florida,Computer & technical support,10783
Florida,"Energy, solar, & utilities",6400
Florida,Home improvement & cleaning,6195
Florida,Home security & alarms,5554
Florida,Imposters,29506
Florida,"Lotteries, prizes & sweepstakes",3531
Florida,Medical & prescriptions,39597
Florida,Reducing debt,51924
Florida,Vacation & timeshares,12183
Florida,Warranties & protection plans,8777
Florida,Work from home,2588
Georgia,Computer & technical support,3383
Georgia,"Energy, solar, & utilities",373
Georgia,Home improvement & cleaning,1522
Georgia,Home security & alarms,3085
Georgia,Imposters,11289
Georgia,"Lotteries, prizes & sweepstakes",1460
Georgia,Medical & prescriptions,16778
Georgia,Reducing debt,23231
Georgia,Vacation & timeshares,5581
Georgia,Warranties & protection plans,5129
Georgia,Work from home,1109
Hawaii,Computer & technical support,345
Hawaii,"Energy, solar, & utilities",84
Hawaii,Home improvement & cleaning,58
Hawaii,Home security & alarms,44
Hawaii,Imposters,1614
Hawaii,"Lotteries, prizes & sweepstakes",131
Hawaii,Medical & prescriptions,561
Hawaii,Reducing debt,2324
Hawaii,Vacation & timeshares,200
Hawaii,Warranties & protection plans,1795
Hawaii,Work from home,264
Idaho,Computer & technical support,1181
Idaho,"Energy, solar, & utilities",146
Idaho,Home improvement & cleaning,185
Idaho,Home security & alarms,70
Idaho,Imposters,2448
Idaho,"Lotteries, prizes & sweepstakes",251
Idaho,Medical & prescriptions,2199
Idaho,Reducing debt,4922
Idaho,Vacation & timeshares,350
Idaho,Warranties & protection plans,800
Idaho,Work from home,236
Illinois,Computer & technical support,5730
Illinois,"Energy, solar, & utilities",5064
Illinois,Home improvement & cleaning,4456
Illinois,Home security & alarms,1528
Illinois,Imposters,16603
Illinois,"Lotteries, prizes & sweepstakes",2032
Illinois,Medical & prescriptions,19022
Illinois,Reducing debt,23048
Illinois,Vacation & timeshares,6625
Illinois,Warranties & protection plans,4299
Illinois,Work from home,1331
Indiana,Computer & technical support,1312
Indiana,"Energy, solar, & utilities",132
Indiana,Home improvement & cleaning,173
Indiana,Home security & alarms,358
Indiana,Imposters,4686
Indiana,"Lotteries, prizes & sweepstakes",544
Indiana,Medical & prescriptions,4247
Indiana,Reducing debt,9706
Indiana,Vacation & timeshares,2268
Indiana,Warranties & protection plans,1757
Indiana,Work from home,315
Iowa,Computer & technical support,1046
Iowa,"Energy, solar, & utilities",73
Iowa,Home improvement & cleaning,178
Iowa,Home security & alarms,107
Iowa,Imposters,2735
Iowa,"Lotteries, prizes & sweepstakes",335
Iowa,Medical & prescriptions,3732
Iowa,Reducing debt,6968
Iowa,Vacation & timeshares,1428
Iowa,Warranties & protection plans,1128
Iowa,Work from home,263
Kansas,Computer & technical support,1391
Kansas,"Energy, solar, & utilities",54
Kansas,Home improvement & cleaning,184
Kansas,Home security & alarms,166
Kansas,Imposters,3044
Kansas,"Lotteries, prizes & sweepstakes",351
Kansas,Medical & prescriptions,3674
Kansas,Reducing debt,7539
Kansas,Vacation & timeshares,817
Kansas,Warranties & protection plans,1139
Kansas,Work from home,234
Kentucky,Computer & technical support,1146
Kentucky,"Energy, solar, & utilities",128
Kentucky,Home improvement & cleaning,123
Kentucky,Home security & alarms,412
Kentucky,Imposters,3853
Kentucky,"Lotteries, prizes & sweepstakes",580
Kentucky,Medical & prescriptions,5221
Kentucky,Reducing debt,7901
Kentucky,Vacation & timeshares,1786
Kentucky,Warranties & protection plans,1307
Kentucky,Work from home,301
Louisiana,Computer & technical support,1287
Louisiana,"Energy, solar, & utilities",159
Louisiana,Home improvement & cleaning,138
Louisiana,Home security & alarms,618
Louisiana,Imposters,4558
Louisiana,"Lotteries, prizes & sweepstakes",415
Louisiana,Medical & prescriptions,5335
Louisiana,Reducing debt,9113
Louisiana,Vacation & timeshares,1097
Louisiana,Warranties & protection plans,1988
Louisiana,Work from home,366
Maine,Computer & technical support,518
Maine,"Energy, solar, & utilities",51
Maine,Home improvement & cleaning,30
Maine,Home security & alarms,66
Maine,Imposters,1261
Maine,"Lotteries, prizes & sweepstakes",193
Maine,Medical & prescriptions,1080
Maine,Reducing debt,3287
Maine,Vacation & timeshares,805
Maine,Warranties & protection plans,473
Maine,Work from home,107
Maryland,Computer & technical support,2467
Maryland,"Energy, solar, & utilities",1327
Maryland,Home improvement & cleaning,3264
Maryland,Home security & alarms,1072
Maryland,Imposters,9511
Maryland,"Lotteries, prizes & sweepstakes",908
Maryland,Medical & prescriptions,6776
Maryland,Reducing debt,18253
Maryland,Vacation & timeshares,2415
Maryland,Warranties & protection plans,1557
Maryland,Work from home,608
Massachusetts,Computer & technical support,2659
