,,,,,,,,,,,
,,,,,,,,,,,
Alabama,,,,,,,,,,,
,Area Code,,"Active Registrations as of Sept. 30, 2014",,,FY 2010 through FY 2014                                                  Complaints,,,FY 2014                               Complaints,,
,205,,"1,058,751",,,"105,424",,,"16,687",,
,251,,"463,196",,,"28,111",,,"5,758",,
,256,,"1,031,865",,,"73,320",,,"16,312",,
,334,,"648,060",,,"38,990",,,"9,626",,
,938,,234,,,42,,,4,,
,,,,,,,,,,,
,,,,,,,,,,,
Alaska,,,,,,,,,,,
,Area Code,,"Active Registrations as of Sept. 30, 2014",,,FY 2010 through FY 2014                                                  Complaints,,,FY 2014                               Complaints,,
,907,,"348,309",,,"9,721",,,"2,152",,
,,,,,,,,,,,
,,,,,,,,,,,
Arizona,,,,,,,,,,,
,Area Code,,"Active Registrations as of Sept. 30, 2014",,,FY 2010 through FY 2014                                                  Complaints,,,FY 2014                               Complaints,,
,480,,"1,282,774",,,"147,989",,,"24,891",,
,520,,"874,661",,,"93,996",,,"18,907",,
,602,,"1,005,594",,,"82,751",,,"14,889",,
,623,,"591,450",,,"76,117",,,"13,121",,
,928,,"623,595",,,"45,631",,,"10,369",,
,,,,,,,,,,,
,,,,,,,,,,,
Arkansas,,,,,,,,,,,
,Area Code,,"Active Registrations as of Sept. 30, 2014",,,FY 2010 through FY 2014                                                  Complaints,,,FY 2014                               Complaints,,
,479,,"555,223",,,"33,568",,,"8,660",,
,501,,"697,196",,,"48,439",,,"10,713",,
,870,,"654,440",,,"29,084",,,"8,174",,
,,,,,,,,,,,
,,,,,,,,,,,
California,,,,,,,,,,,
,Area Code,,"Active Registrations as of Sept. 30, 2014",,,FY 2010 through FY 2014                                                  Complaints,,,FY 2014                               Complaints,,
,209,,"864,745",,,"55,326",,,"12,661",,
,213,,"225,927",,,"16,192",,,"3,027",,
,310,,"1,553,641",,,"146,419",,,"32,724",,
,323,,"716,268",,,"52,191",,,"12,293",,
,408,,"1,175,964",,,"94,938",,,"22,812",,
,415,,"1,092,431",,,"89,165",,,"22,436",,
,424,,"32,906",,,"3,705",,,709,,
,442,,754,,,45,,,15,,
,510,,"1,096,621",,,"88,132",,,"22,798",,
,530,,"932,236",,,"65,086",,,"15,450",,
,559,,"745,932",,,"38,676",,,"10,512",,
,562,,"788,993",,,"68,472",,,"17,016",,
,619,,"1,103,899",,,"67,891",,,"15,552",,
,626,,"842,588",,,"71,220",,,"16,915",,
,650,,"765,943",,,"72,289",,,"23,064",,
,657,,"2,559",,,557,,,140,,
,661,,"711,560",,,"55,563",,,"15,071",,
,669,,190,,,19,,,14,,
,707,,"1,019,855",,,"78,289",,,"21,158",,
,714,,"1,396,879",,,"141,182",,,"34,510",,
,747,,"1,242",,,162,,,57,,
,760,,"1,274,062",,,"86,420",,,"21,253",,
,805,,"1,111,454",,,"95,126",,,"23,074",,
,818,,"1,282,563",,,"107,202",,,"23,349",,
,831,,"444,112",,,"27,061",,,"7,432",,
,858,,"587,746",,,"47,953",,,"11,909",,
,909,,"982,849",,,"80,981",,,"26,217",,
,916,,"1,311,662",,,"94,967",,,"20,769",,
,925,,"842,593",,,"72,551",,,"18,290",,
,949,,"890,372",,,"75,591",,,"15,429",,
,951,,"901,818",,,"68,772",,,"20,621",,
,,,,,,,,,,,
Colorado,,,,,,,,,,,
,Area Code,,"Active Registrations as of Sept. 30, 2014",,,FY 2010 through FY 2014                                                  Complaints,,,FY 2014                               Complaints,,
,303,,"1,874,276",,,"175,065",,,"38,136",,
,719,,"807,669",,,"53,450",,,"11,075",,
,720,,"652,986",,,"28,259",,,"5,789",,
,970,,"926,971",,,"47,935",,,"11,984",,
,,,,,,,,,,,
,,,,,,,,,,,
Connecticut,,,,,,,,,,,
,Area Code,,"Active Registrations as of Sept. 30, 2014",,,FY 2010 through FY 2014                                                  Complaints,,,FY 2014                               Complaints,,
,203,,"1,543,784",,,"120,129",,,"24,273",,
,475,,"1,172",,,55,,,16,,
,860,,"1,475,587",,,"100,857",,,"22,025",,
,959,,9,,,1,,,1,,
,,,,,,,,,,,
,,,,,,,,,,,
Delaware,,,,,,,,,,,
,Area Code,,"Active Registrations as of Sept. 30, 2014",,,FY 2010 through FY 2014                                                  Complaints,,,FY 2014                               Complaints,,
,302,,"710,636",,,"57,064",,,"14,161",,
,,,,,,,,,,,
,,,,,,,,,,,
District of Columbia,,,,,,,,,,,
,Area Code,,"Active Registrations as of Sept. 30, 2014",,,FY 2010 through FY 2014                                                  Complaints,,,FY 2014                               Complaints,,
,202,,"575,799",,,"33,299",,,"8,644",,
,,,,,,,,,,,
,,,,,,,,,,,
Florida,,,,,,,,,,,
,Area Code,,"Active Registrations as of Sept. 30, 2014",,,FY 2010 through FY 2014                                                  Complaints,,,FY 2014                               Complaints,,
,239,,"715,751",,,"56,333",,,"13,143",,
,305,,"1,169,225",,,"83,272",,,"15,918",,
,321,,"631,967",,,"56,153",,,"12,117",,
,352,,"988,295",,,"80,891",,,"19,220",,
,386,,"571,932",,,"45,703",,,"10,201",,
,407,,"1,229,368",,,"91,911",,,"19,289",,
,561,,"1,108,733",,,"87,713",,,"15,012",,
,727,,"993,636",,,"75,428",,,"17,612",,
,754,,"34,329",,,"2,178",,,426,,
,772,,"429,121",,,"32,347",,,"5,572",,
,786,,"355,734",,,"29,471",,,"7,011",,
,813,,"1,032,453",,,"75,412",,,"16,465",,
,850,,"984,662",,,"46,563",,,"12,512",,
,863,,"474,800",,,"28,095",,,"6,786",,
,904,,"1,040,836",,,"65,964",,,"16,090",,
,941,,"746,907",,,"57,486",,,"13,708",,
,954,,"1,329,340",,,"95,434",,,"16,512",,
,,,,,,,,,,,
,,,,,,,,,,,
Georgia,,,,,,,,,,,
,Area Code,,"Active Registrations as of Sept. 30, 2014",,,FY 2010 through FY 2014                                                  Complaints,,,FY 2014                               Complaints,,
,229,,"389,925",,,"16,810",,,"3,487",,
,404,,"1,221,174",,,"64,921",,,"12,693",,
,470,,"6,577",,,291,,,154,,
